240	peaceful	huzurlu	he was sleeping peacefully	words_20200426	<img src="peaceful2.jpg"> <br> 	
241	to trust	güvenmek	The sheep soon got to know her and trust her	words_20200426	<img src="to_trust.jpg"> <br> 	
242	lonely	yalnız	Wilbur stood in the sun feeling lonely and bored	words_20200426	<img src="lonely2.jpg"> <br> 	
243	still	sessiz, sakin	he was tired of standing still	words_20200426	<img src="still2.jpg"> <br> 	
244	loose	gevşek, bol	One of the boards is loose	words_20200426	<img src="loose2.jpg"> <br> 	
245	queer	tuhaf, acayip	Mrs. Arable looked at her daughter with a queer, worried look	words_20200426	<img src="queer2.jpg"> <br> 	
246	to notice	fark etmek	Charlotte noticed his embarrassment	words_20200426	<img src="to_notice.jpg"> <br> 	
247	to complain	şikayet etmek	Mr. and Mrs. Zuckerman were always complaining about them	words_20200426	<img src="to_complain.jpg"> <br> 	
248	racket	şamata, curcuna	Please, please, please, please, please, please ... They made quite a racket.	words_20200426	<img src="racket2.jpg"> <br> 	
249	to tie	bağlamak	Avery had a balloon tied to his ear.	words_20200426	<img src="to_tie.jpg"> <br> 	
250	pail	kova	the crowd was carrying a pail of water	words_20200426	<img src="pail2.jpg"> <br> 	
251	trick	hile	It's the old pail trick, Wilbur. Don't fall for it	words_20200426	<img src="trick2.jpg"> <br> 	
252	to order	emretmek	Take that frog out! ordered Fern.	words_20200426	<img src="to_order.jpg"> <br> 	
253	slops	pis su	The slops ran creamily down around the pig's eyes and ears	words_20200426	<img src="slops2.jpg"> <br> 	
254	relieved	rahatlamış	She felt greatly relieved	words_20200426	<img src="relieved2.jpg"> <br> 	
255	appetizing	iştah açıcı	Is this appetizing yarn of yours true?	words_20200426	<img src="appetizing2.jpg"> <br> 	
256	to lure	yemlemek, cezbetmek, çekmek, ayartmak	He's trying to lure you back into captivityivity	words_20200426	<img src="to_lure.jpg"> <br> 	
257	to fall for	kanmak	It's the old pail trick, Wilbur. Don't fall for it, don't fall for it!	words_20200426	<img src="to_fall_for.jpg"> <br> 	
258	tiring	yorucu	This had been a tiring afternoon	words_20200426	<img src="tiring2.jpg"> <br> 	
259	to scratch	karalamak, kaşımak, tırmalamak	He lets me scratch him between the eyes	words_20200426	<img src="to_scratch.jpg"> <br> 	
260	to lie	yatmak	It was always delightfully soft to lie in	words_20200426	<img src="to_lie.jpg"> <br> 	
261	to upset	üzmek	Rain upset Wilbur's plans	words_20200426	<img src="to_upset.jpg"> <br> 	
262	nap	uyku, gündüz uykusu	Wilbur planned to take a nap outdoors in the sun	words_20200426	<img src="nap2.jpg"> <br> 	
263	to dig	toprağı kazmak	From nine to eleven he planned to dig a hole	words_20200426	<img src="to_dig.jpg"> <br> 	
264	itchy	kaşıntılı, kaşınan	he planned to scratch itchy places by rubbing against the fence.	words_20200426	<img src="itchy2.jpg"> <br> 	
265	to bear	dayanmak, katlanmak	He couldn't bear to watch any more	words_20200426	<img src="to_bear.jpg"> <br> 	
266	gloomily	kasvetli, hüzünlü	For a while he stood gloomily indoors	words_20200426	<img src="gloomily2.jpg"> <br> 	
267	trough	yalak	His trough had an inch of rainwater in it.	words_20200426	<img src="trough2.jpg"> <br> 	
268	friendless	arkadaşsız	Suddenly Wilbur felt lonely and friendless.	words_20200426	<img src="friendless2.jpg"> <br> 	
269	to humiliate	aşağılamak, küçük düşürmek		words_20200426	<img src="to_humiliate.jpg"> <br> 	
270	to gnaw	kemirmek	partially gnawed ice cream cones	words_20200426	<img src="to_gnaw.jpg"> <br> 	
271	to spy	casusluk yapmak	I prefer to spend my time eating, gnawing, spying, and hiding.	words_20200426	<img src="to_spy.jpg"> <br> 	
272	crafty	kurnaz	Templeton was a crafty rat	words_20200426	<img src="crafty2.jpg"> <br> 	
273	cunning	kurnazlık	The tunnel was an example of his skill and cunning	words_20200426	<img src="cunning2.jpg"> <br> 	
274	dejected	keyifsiz, hüzünlü	Friendless, dejected, and hungry, he threw himself down in the manure and sobbed	words_20200426	<img src="dejected2.jpg"> <br> 	
275	to endure	katlanmak, tahammül etmek	He endured five years as a prisoner of war	words_20200426	<img src="to_bear.jpg"> <br> 	
276	to pester	rahatsız etmek	Flies spent their time pestering others.	words_20200426	<img src="to_pester.jpg"> <br> 	
277	victim	kurban	she always put her victim to sleep before eating it.	words_20200426	<img src="victim2.jpg"> <br> 	
278	thoughtful	düşünceli	It's real thoughtful of you to do that, Charlotte	words_20200426	<img src="thoughtful2.jpg"> <br> 	
279	to gain	kazanmak, kilo almak	he gained a lot of weight	words_20200426	<img src="to_gain.jpg"> <br> 	
280	to spread	yaymak	I don't like to spread bad news	words_20200426	<img src="to_spread.jpg"> <br> 	
281	to sob	hıçkırarak ağlamak	Mr. Arable? sobbed Wilbur.	words_20200426	<img src="to_sob.jpg"> <br> 	
282	to burst	patlamak, serilmek	Wilbur burst into tears	words_20200426	<img src="to_burst.jpg"> <br> 	
283	queerly	tuhafça, garipçe	I want him to know how queerly she is acting about that pig	words_20200426	<img src="queer2.jpg"> <br> 	
284	thoughtfully	düşünceli bir şekilde	Springtime, said the old sheep, thoughtfully.	words_20200426	<img src="thoughtful2.jpg"> <br> 	
285	to stare	dik dik bakmak	He stepped closer and stared	words_20200426	<img src="to_stare.jpg"> <br> 	
286	to chuckle	kıkırdayarak gülmek	The goose chuckled.	words_20200426	<img src="to_chuckle.jpg"> <br> 	
287	imagination	hayal gücü	she's just got a lively imagination.	words_20200426	<img src="imagination2.jpg"> <br> 	
288	to grin	sırıtmak	Mr. Arable grinned	words_20200426	<img src="to_grin.jpg"> <br> 	
